Designator,Mid X,Mid Y,Rotation,Layer
S74,198.9455,-134.7248,0.0,top
S75,220.3768,-134.7248,0.0,top
S76,258.4768,-133.6675,0.0,top
S77,239.4268,-152.7175,0.0,top
S78,258.4768,-152.7175,0.0,top
S79,277.5268,-152.7175,0.0,top
S8,158.8024,-38.4175,0.0,top
S9,178.5325,-38.4175,0.0,top
SW1,12.727,-110.3872,90.0,bottom
U1,28.2575,-95.614,270.0,bottom
